respondent_id,village_block,membership_duration_months,membership_duration,shg_meetings_attended_monthly,engagement_level,scheme_awareness_count,awareness_score,household_income_increase_percent,satisfaction_level,future_program_confidence,referral_likelihood,savings_participation,credit_participation,agricultural_intervention,livestock_activity,nonfarm_enterprise,didi_ki_rasoi,producer_groups,vo_participation,barrier_lack_of_info,barrier_access_difficulty,barrier_inadequate_capital,barrier_poor_market,barrier_skill_gap,barrier_family_opposition
28,Block D,54,16,4,active,6,6,35,4,4,10,0,1,1,1,1,1,1,0,0,0,0,0,0,0
29,Block A,51,44,4,active,6,6,40,4,4,7,1,0,1,0,1,1,1,1,0,0,0,0,0,0
30,Block A,26,46,3,active,8,8,35,5,5,8,0,1,1,1,1,0,0,1,0,0,1,0,0,1
31,Block A,20,22,3,active,8,8,50,5,4,10,1,1,1,1,1,0,1,0,1,0,0,1,0,0
32,Block D,8,31,3,active,7,7,33,5,4,9,1,1,1,0,0,0,1,1,0,1,0,0,0,0
33,Block A,46,24,3,active,7,7,37,4,5,10,1,1,1,1,0,1,1,1,0,0,0,0,0,0
34,Block C,24,7,4,active,10,10,35,5,4,9,0,1,0,1,0,1,1,1,0,0,0,0,0,0
35,Block D,55,13,4,active,8,8,27,4,5,9,0,1,1,1,1,1,1,0,0,0,0,0,0,0
36,Block D,53,58,3,active,10,10,48,5,4,8,1,1,1,1,1,0,1,0,0,0,0,0,0,0
37,Block D,13,31,4,active,10,10,29,4,4,7,0,1,0,1,1,1,1,1,0,0,0,0,0,0
38,Block A,56,14,4,active,7,7,32,4,4,7,1,1,0,1,0,1,1,1,0,0,0,0,0,0
39,Block B,13,8,3,active,7,7,52,4,5,8,0,1,0,0,0,1,0,1,0,0,0,0,0,0
40,Block C,32,25,4,active,10,10,58,5,5,7,1,1,1,0,0,0,1,1,0,0,0,0,0,0
41,Block C,32,60,3,active,9,9,47,5,4,9,1,0,0,1,0,0,1,1,0,0,0,0,0,0
42,Block C,58,27,4,active,7,7,57,4,4,10,0,1,1,1,1,1,0,0,0,0,0,0,0,0
43,Block C,42,60,4,active,9,9,55,5,4,10,1,1,1,1,0,1,1,0,0,0,0,0,1,0
44,Block B,54,32,3,active,8,8,39,4,5,8,1,1,1,0,0,1,0,1,0,0,0,0,0,0
45,Block A,38,48,3,active,10,10,51,4,4,10,1,1,1,1,1,1,1,0,0,0,0,0,0,0
46,Block B,51,49,4,active,7,7,33,4,5,10,1,1,1,1,0,1,0,0,0,0,0,0,0,0
47,Block B,52,7,3,active,10,10,38,5,5,10,0,1,1,1,1,1,1,1,0,0,0,0,1,0
48,Block C,53,6,4,active,10,10,41,4,5,8,0,1,0,1,0,1,1,1,0,0,0,0,0,0
49,Block D,28,56,4,active,6,6,59,5,4,8,0,0,1,1,0,1,1,0,0,0,0,0,0,0
50,Block C,27,57,4,active,6,6,54,4,4,10,1,0,1,0,1,1,1,1,0,0,0,0,0,0
51,Block C,60,13,4,active,8,8,40,4,4,7,1,1,1,1,1,1,1,0,0,0,0,0,0,0
52,Block A,47,41,3,active,6,6,46,4,5,8,1,1,1,0,1,0,0,1,0,0,1,0,0,0
53,Block C,56,56,3,active,7,7,28,5,5,7,1,1,1,1,0,1,0,1,0,0,1,0,0,0
54,Block B,37,58,3,active,8,8,52,4,5,10,1,1,1,0,0,0,1,0,0,0,0,0,0,0
55,Block A,57,22,3,active,10,10,42,5,4,9,0,1,1,0,1,1,0,1,0,0,0,0,0,0
56,Block A,45,50,3,active,10,10,41,5,4,7,0,0,0,0,0,1,0,1,0,0,0,0,0,1
57,Block D,46,41,4,active,6,6,51,4,5,7,0,0,0,1,1,1,0,1,0,0,1,0,0,0
58,Block D,15,57,3,active,10,10,45,5,5,9,1,0,1,1,1,1,1,1,0,0,1,0,0,0
59,Block C,37,14,4,active,6,6,22,5,5,9,1,1,1,1,1,1,1,1,0,0,0,1,0,0
60,Block D,46,39,4,active,9,9,31,4,5,10,1,0,0,1,1,1,1,1,0,0,0,0,0,0
61,Block A,47,7,4,active,10,10,27,4,4,8,1,1,0,1,1,0,1,1,0,0,0,1,1,0
62,Block B,58,25,4,active,10,10,50,4,4,10,1,1,1,0,1,1,0,1,0,1,0,0,0,0
63,Block D,23,6,3,active,7,7,21,5,4,8,1,1,0,0,1,1,1,1,0,0,0,0,0,0
64,Block A,22,30,4,active,10,10,28,4,5,10,1,0,0,1,1,1,1,0,0,0,0,0,0,0
65,Block C,59,50,3,active,6,6,44,5,5,7,0,1,0,1,0,1,1,1,0,0,0,0,0,0
66,Block A,60,42,3,active,8,8,48,5,4,7,1,0,1,0,1,0,0,1,0,0,0,0,0,0
67,Block B,15,23,4,active,8,8,40,5,5,7,0,1,1,0,0,0,1,1,0,0,0,0,0,0
68,Block B,26,29,3,active,7,7,55,4,5,8,1,0,1,1,1,1,1,1,0,0,0,0,0,0
69,Block B,58,26,3,active,6,6,57,5,5,10,1,1,1,1,1,1,0,0,0,0,0,0,0,0
70,Block D,16,46,3,active,9,9,25,4,5,7,1,1,1,0,1,1,0,1,0,0,0,0,0,0
71,Block D,49,20,4,active,7,7,59,4,4,8,1,0,1,1,1,1,1,1,0,0,1,1,0,0
72,Block C,12,11,3,active,9,9,45,4,4,7,1,1,1,1,1,0,0,0,0,0,0,0,0,0
73,Block C,15,33,3,active,8,8,46,4,5,10,1,1,1,0,1,0,0,0,0,0,0,0,0,0
74,Block A,49,51,3,active,7,7,23,4,5,9,0,1,0,0,1,1,1,0,0,0,0,0,0,0
75,Block A,39,32,4,active,10,10,45,4,4,10,1,1,1,0,1,1,0,0,0,0,0,0,0,0
76,Block A,36,17,3,active,6,6,49,4,4,9,1,1,1,0,1,1,1,0,0,0,0,0,0,0
77,Block D,53,8,3,active,9,9,43,4,5,9,1,1,0,1,1,1,1,1,0,0,0,0,0,0
78,Block A,22,57,3,active,9,9,23,5,5,10,1,1,0,1,0,1,1,1,1,0,0,0,0,0
79,Block B,33,47,4,active,7,7,41,4,4,7,1,0,0,1,1,1,1,1,0,0,0,0,0,0
80,Block D,39,14,4,active,7,7,58,5,5,10,1,1,0,1,0,0,1,1,1,0,0,0,0,0
81,Block C,46,10,4,active,6,6,49,5,4,9,0,1,0,1,0,1,1,1,0,0,0,0,0,0
82,Block C,24,13,3,active,10,10,25,5,4,9,0,1,1,1,0,1,1,1,0,0,0,0,0,0
83,Block A,40,26,3,active,10,10,59,5,5,8,0,1,1,1,0,1,1,1,1,0,0,0,0,0
84,Block C,30,50,4,active,7,7,59,5,4,10,1,1,1,0,1,1,1,0,0,0,0,0,1,0
85,Block C,35,14,4,active,6,6,26,5,5,8,1,0,1,1,1,0,1,0,0,0,0,0,0,0
86,Block B,53,51,4,active,6,6,52,5,4,7,0,0,0,1,1,1,1,1,0,0,0,0,0,0
87,Block C,27,6,3,active,6,6,36,5,5,10,1,1,1,1,0,0,1,1,0,0,0,1,0,0
88,Block D,42,46,3,active,10,10,44,4,4,7,1,1,1,1,1,0,1,1,1,1,0,0,1,0
89,Block B,57,21,4,active,10,10,38,4,5,7,1,1,1,0,1,1,0,1,0,0,1,1,0,0
90,Block B,47,58,4,active,6,6,52,5,4,9,0,1,1,1,0,1,1,0,0,0,1,0,0,1
91,Block B,60,32,3,active,9,9,60,4,5,7,1,1,1,1,1,0,0,0,0,0,1,0,0,0
92,Block D,38,20,4,active,6,6,52,5,4,10,0,1,1,0,1,1,1,0,0,0,0,0,0,0
93,Block A,21,19,4,active,7,7,58,4,4,8,0,1,0,1,0,1,0,0,1,0,0,0,0,0
94,Block D,60,51,3,active,8,8,58,4,4,7,1,1,1,1,1,0,0,0,0,0,0,0,0,0
95,Block D,41,28,4,active,9,9,23,5,5,10,0,1,0,1,1,0,0,1,0,0,0,0,0,0
96,Block B,19,25,3,active,10,10,30,5,4,9,1,1,1,1,0,1,1,1,1,0,0,0,1,0
97,Block C,23,46,3,active,6,6,49,5,5,8,1,1,1,1,1,1,1,1,0,0,0,0,0,0
98,Block D,20,35,4,active,6,6,44,4,5,9,1,1,1,1,1,1,1,1,0,0,0,0,0,0
99,Block D,51,42,4,active,7,7,22,5,5,9,0,0,0,1,1,0,1,1,0,0,0,0,0,0
100,Block B,11,30,3,active,7,7,23,5,5,7,1,1,1,1,1,1,0,1,0,0,0,0,0,0
101,Block A,46,9,4,active,10,10,41,5,4,10,1,1,0,1,1,1,0,0,0,0,0,0,0,0
102,Block C,36,6,3,active,9,9,45,5,5,8,1,1,1,1,0,1,1,1,0,0,0,0,1,0
103,Block A,10,8,4,active,7,7,26,5,5,9,1,0,1,0,0,0,1,0,0,0,0,1,1,0
104,Block A,39,37,3,active,10,10,27,5,4,10,1,1,0,1,1,0,1,0,1,0,0,0,0,0
105,Block D,47,34,4,active,8,8,25,4,4,9,1,0,1,1,1,1,1,1,0,0,0,0,0,0
106,Block B,45,47,4,active,8,8,43,5,5,9,1,0,1,1,1,1,1,1,0,0,0,0,0,0
107,Block C,35,55,4,active,8,8,20,5,4,8,0,1,0,1,0,0,1,1,0,0,0,0,0,0
108,Block A,24,15,4,active,6,6,43,5,5,7,1,1,1,1,1,0,0,1,0,0,0,0,0,0
109,Block A,15,58,3,active,10,10,39,5,4,8,0,1,1,0,1,1,1,1,0,0,0,1,0,0
110,Block A,6,57,4,active,6,6,39,5,4,10,1,0,1,0,1,1,1,0,0,0,0,0,1,0
111,Block B,25,39,3,active,6,6,47,4,5,9,1,1,1,1,0,1,1,1,0,0,0,0,0,0
112,Block A,40,35,4,active,7,7,41,5,4,8,1,0,0,1,1,1,0,1,0,0,0,0,0,0
113,Block B,8,15,4,active,7,7,49,4,5,10,1,1,0,0,0,1,1,0,0,1,1,0,0,0
114,Block B,60,15,3,active,6,6,51,4,5,10,0,1,1,1,1,1,1,1,0,0,0,0,0,1
115,Block C,38,7,4,active,6,6,57,5,4,10,1,1,0,1,0,1,1,1,0,0,0,0,0,0
116,Block C,22,41,4,active,9,9,52,5,4,8,1,1,1,1,1,0,1,1,0,0,0,0,0,0
117,Block B,58,29,3,active,10,10,41,4,5,9,1,1,1,1,1,1,1,1,0,0,0,1,0,0
118,Block B,16,16,3,active,6,6,40,4,5,9,0,1,1,0,0,1,1,1,0,0,0,0,0,0
119,Block A,58,13,3,active,7,7,29,4,4,8,1,0,0,1,0,1,1,1,0,1,0,0,0,1
120,Block B,21,9,3,active,8,8,44,4,5,8,1,0,1,0,1,1,0,1,0,0,0,0,0,0
121,Block D,26,41,3,active,10,10,25,4,4,7,0,1,1,1,1,1,1,1,0,0,0,0,0,0
122,Block D,29,43,4,active,9,9,58,4,4,8,0,1,1,1,1,1,1,1,0,0,0,0,1,0
123,Block B,60,40,4,active,9,9,54,5,5,9,0,1,0,1,1,1,1,1,0,0,0,0,0,0
124,Block D,19,12,3,active,8,8,24,5,4,10,1,0,1,1,1,1,0,1,0,0,1,0,0,0
125,Block C,59,8,4,active,8,8,52,5,5,10,1,1,1,1,0,0,0,1,0,0,0,0,0,0
126,Block A,25,11,4,active,6,6,24,4,5,7,1,0,0,1,1,1,0,1,0,0,1,0,0,0
127,Block D,21,47,3,active,10,10,49,4,5,9,0,1,1,1,0,0,1,1,0,1,0,0,0,0
128,Block B,41,46,4,active,10,10,23,4,5,7,1,1,1,0,1,0,1,1,0,0,0,0,0,0
129,Block C,44,22,4,active,6,6,40,5,4,9,0,1,1,1,1,0,0,1,1,0,0,0,0,0
130,Block C,24,9,4,active,9,9,46,4,4,8,1,1,1,1,1,1,0,0,0,0,1,1,0,0
131,Block B,13,23,4,active,6,6,49,4,5,8,1,0,1,1,1,1,1,1,0,1,0,0,0,0
132,Block C,27,50,4,active,9,9,37,4,5,9,0,1,0,1,1,1,1,0,0,1,0,1,0,0
133,Block C,35,13,3,active,10,10,57,5,4,8,1,1,1,0,1,1,1,1,1,0,0,0,0,0
134,Block B,8,49,4,active,6,6,51,4,5,10,0,0,1,0,0,1,0,1,0,0,0,0,0,0
135,Block B,10,31,4,active,8,8,28,4,4,9,1,0,0,0,0,0,1,0,0,0,0,0,0,0
136,Block C,56,13,3,active,6,6,47,5,5,10,1,0,1,1,0,1,1,0,0,1,0,0,0,0
137,Block A,7,57,4,active,8,8,49,5,4,9,1,1,1,1,1,0,1,0,0,0,0,0,0,0
138,Block A,28,34,3,active,10,10,33,4,5,8,1,1,0,1,1,1,1,1,0,0,0,0,0,0
139,Block D,48,42,3,active,6,6,50,4,4,10,1,0,1,1,1,1,1,0,0,0,0,0,0,0
140,Block B,24,11,3,active,7,7,56,5,4,8,1,1,0,1,1,1,1,1,0,0,0,0,0,0
141,Block C,33,26,4,active,10,10,53,5,5,9,1,1,0,1,1,1,0,1,0,0,0,0,0,0
142,Block C,10,40,3,active,7,7,51,5,4,7,1,0,1,1,1,1,1,1,0,0,0,0,0,0
143,Block D,49,41,3,active,6,6,46,4,4,7,1,1,1,1,1,1,1,0,0,0,0,0,0,0
144,Block C,40,9,3,active,8,8,31,4,5,9,1,1,1,1,1,1,1,1,0,0,1,0,0,1
145,Block C,52,39,4,active,8,8,52,5,4,7,1,0,1,0,1,1,1,0,0,0,0,0,0,0
146,Block D,53,57,4,active,9,9,34,4,4,10,1,1,1,0,1,1,1,1,0,0,0,1,1,0
147,Block D,25,49,3,active,7,7,41,4,4,10,1,1,1,1,1,0,1,0,0,0,0,0,1,0
148,Block A,8,17,3,active,10,10,32,5,5,9,0,1,0,0,1,1,1,0,0,0,0,0,0,0
149,Block C,25,56,4,active,8,8,32,5,5,9,0,1,0,1,1,1,0,0,0,0,0,0,0,0
150,Block A,13,43,3,active,7,7,26,4,5,9,1,1,0,0,1,1,1,1,0,0,0,0,0,0
151,Block D,35,9,4,active,10,10,59,5,4,7,1,0,1,0,1,1,1,1,0,0,1,0,0,0
152,Block A,14,13,3,active,10,10,26,4,4,8,1,0,1,1,0,1,1,1,0,0,0,0,0,0
153,Block A,56,56,4,active,8,8,23,5,4,8,1,1,1,0,1,1,0,1,0,0,0,0,0,0
154,Block A,39,17,3,active,6,6,58,5,5,10,1,1,1,0,1,0,1,1,0,0,0,0,0,1
155,Block C,19,11,3,active,8,8,42,4,4,7,1,0,0,0,0,1,0,1,1,0,0,0,0,0
156,Block A,56,30,4,active,8,8,37,5,4,8,1,1,1,0,1,1,0,1,0,0,0,0,0,0
157,Block A,48,34,3,active,6,6,50,4,5,8,0,1,1,1,0,1,1,1,1,0,0,1,0,0
158,Block C,30,37,4,active,9,9,35,5,5,7,1,1,0,1,0,1,1,1,1,0,1,0,0,0
159,Block D,14,42,4,active,10,10,25,4,5,7,1,1,1,0,1,1,0,0,0,1,0,0,0,0
160,Block C,24,60,4,active,6,6,49,4,4,8,0,1,1,1,1,1,1,1,0,0,0,0,0,0
161,Block B,38,47,4,active,9,9,27,5,5,7,0,1,1,1,1,1,1,0,0,1,1,0,0,0
162,Block C,48,7,4,active,6,6,42,5,5,7,1,1,1,1,0,1,1,0,0,0,0,0,1,0
163,Block C,20,10,3,active,9,9,58,4,4,8,1,1,0,1,1,0,1,1,0,0,0,0,0,0
164,Block B,46,6,3,active,8,8,58,5,5,7,1,1,1,1,1,1,1,0,0,0,0,1,0,0
165,Block C,21,27,3,active,6,6,34,5,5,9,1,1,0,0,1,1,1,1,0,0,0,0,0,0
166,Block A,19,25,4,active,10,10,51,4,4,7,0,1,0,1,1,1,1,1,0,0,0,0,0,0
167,Block A,30,57,3,active,6,6,45,5,5,8,1,1,0,0,0,1,1,1,0,0,0,0,0,0
168,Block C,14,26,3,active,8,8,39,5,5,8,1,1,1,0,1,1,1,1,0,0,0,0,0,0
169,Block B,28,7,3,active,6,6,25,4,5,10,1,1,1,1,0,1,0,1,0,0,1,0,0,0
170,Block A,25,54,3,active,10,10,35,4,5,9,1,1,0,1,0,0,1,1,1,0,0,0,0,0
171,Block A,21,20,3,active,9,9,46,5,5,10,0,1,1,1,1,1,1,0,0,1,0,0,0,0
172,Block D,48,56,3,active,10,10,60,4,5,8,1,0,1,0,1,1,1,1,0,1,0,0,0,0
173,Block B,24,48,4,active,8,8,20,5,4,8,1,1,0,0,0,0,1,0,0,0,0,0,0,0
174,Block A,44,54,4,active,8,8,49,5,5,8,0,0,1,1,0,0,1,0,0,0,0,0,0,0
175,Block C,45,51,4,active,9,9,54,4,5,10,0,0,0,1,0,1,1,1,0,0,0,0,0,0
176,Block C,42,13,3,active,9,9,58,4,5,10,1,1,0,1,1,1,1,1,0,0,0,0,0,0
177,Block B,20,40,4,active,10,10,37,5,4,10,1,1,0,1,1,1,1,0,0,0,0,0,0,0
178,Block D,51,28,3,active,6,6,24,4,4,10,1,0,1,0,1,0,1,1,1,0,0,0,0,0
179,Block B,19,40,4,active,9,9,31,4,5,9,1,1,0,0,0,1,1,1,1,0,0,0,0,0
180,Block C,21,47,4,active,6,6,54,5,5,9,1,1,1,1,1,0,1,1,0,1,0,0,0,1
181,Block C,54,33,4,active,7,7,55,5,5,10,1,1,0,0,1,1,1,0,0,0,0,0,1,1
182,Block C,24,23,3,active,10,10,46,5,4,8,0,1,0,1,1,0,1,1,0,0,0,0,0,0
183,Block A,44,56,3,active,7,7,25,5,4,8,0,1,0,0,1,1,1,1,0,1,0,0,0,0
184,Block C,8,42,4,active,9,9,24,5,5,10,0,0,1,1,0,1,1,1,0,0,0,0,0,0
185,Block C,39,54,3,active,8,8,39,4,4,8,0,0,1,1,1,1,1,1,0,0,0,0,1,0
186,Block A,53,19,3,active,7,7,44,5,5,7,0,1,1,0,1,1,1,1,0,1,1,1,0,0
187,Block A,44,52,3,active,7,7,21,5,4,9,0,0,1,1,0,1,1,0,0,1,0,0,0,0
188,Block C,38,23,3,active,8,8,48,5,4,8,0,1,1,1,0,1,0,0,0,0,0,0,0,0
189,Block A,52,31,3,active,9,9,42,5,5,10,1,0,1,0,1,1,1,1,0,0,0,0,0,1
190,Block D,22,53,3,active,9,9,20,4,4,10,1,1,1,1,1,1,1,1,0,0,0,0,0,0
191,Block A,26,25,4,active,10,10,23,5,5,8,1,0,0,1,0,0,1,1,0,0,0,0,0,0
192,Block D,9,19,4,active,10,10,38,4,5,9,1,0,0,1,0,0,0,1,0,0,0,0,0,0
193,Block C,44,56,4,active,9,9,49,5,5,10,1,1,1,1,1,1,1,1,0,0,0,0,0,0
194,Block B,45,59,3,active,9,9,53,4,4,9,1,1,0,1,1,1,1,1,0,0,0,0,0,0
195,Block B,47,23,4,active,7,7,37,4,4,7,1,0,1,1,1,1,0,1,0,0,0,0,0,0
196,Block B,47,22,3,active,8,8,32,4,5,9,1,1,1,0,1,0,1,1,0,0,0,0,0,0
197,Block C,13,18,3,active,6,6,59,5,4,9,1,1,1,1,0,1,0,1,0,0,0,0,0,0
198,Block D,42,7,3,active,7,7,38,5,4,9,0,0,0,1,1,1,1,1,0,0,0,0,0,0
199,Block A,47,36,3,active,10,10,32,4,4,7,0,1,0,0,1,0,1,1,0,0,0,0,0,0
200,Block C,17,20,4,active,8,8,38,4,5,8,1,1,0,1,0,0,1,0,0,0,1,0,0,0
201,Block D,32,52,3,active,6,6,20,4,4,10,1,1,0,0,0,1,1,0,0,0,0,0,1,0
202,Block B,56,15,4,active,9,9,32,4,4,7,1,1,0,1,0,1,0,0,0,0,0,0,0,0
203,Block C,28,40,3,active,10,10,41,5,5,8,0,0,1,0,1,1,1,0,0,0,0,0,0,0
204,Block A,47,33,4,active,10,10,57,4,4,8,0,1,1,1,1,0,0,1,0,0,0,0,0,0
205,Block D,35,39,3,active,7,7,50,4,5,7,1,1,1,1,1,1,1,0,0,0,1,0,0,0
206,Block A,42,12,3,active,8,8,52,4,5,7,0,1,0,0,1,1,1,1,0,0,0,0,0,0
207,Block B,40,31,4,active,8,8,42,4,5,8,1,0,1,1,1,1,0,1,0,0,0,1,0,0
208,Block B,41,40,4,active,7,7,24,5,5,10,1,1,1,1,1,1,1,1,0,0,0,0,0,0
209,Block B,48,24,3,active,7,7,36,5,4,7,0,0,0,1,1,1,0,1,0,1,1,0,0,0
210,Block A,55,54,4,active,7,7,60,4,4,8,1,0,1,1,0,1,1,1,0,0,0,0,0,0
211,Block C,22,35,3,active,10,10,21,5,4,7,1,0,0,1,0,0,0,1,1,0,0,0,0,0
212,Block A,57,25,4,active,9,9,56,4,4,9,1,0,1,1,1,0,1,0,0,0,0,0,0,0
213,Block D,40,7,4,active,10,10,48,4,5,8,1,0,0,1,1,1,1,0,1,0,0,0,0,0
214,Block A,38,15,3,active,10,10,31,4,5,10,0,0,0,1,1,0,1,1,1,0,0,0,1,0
215,Block B,24,32,4,active,10,10,51,4,5,9,0,1,1,1,1,1,1,1,1,0,0,0,0,0
216,Block D,28,28,3,active,6,6,54,4,5,10,1,0,0,1,1,1,1,0,0,0,0,0,0,0
217,Block A,41,53,3,active,10,10,21,5,5,9,1,1,1,1,1,1,1,1,0,0,0,0,0,0
218,Block A,26,49,3,active,6,6,24,5,4,8,0,1,1,1,0,0,0,1,0,0,0,0,0,0
219,Block C,21,14,3,active,8,8,47,5,4,10,1,0,1,1,1,0,1,1,0,0,0,0,0,0
220,Block A,51,38,4,active,8,8,60,4,5,8,0,0,0,1,0,0,0,1,0,0,0,0,0,0
221,Block D,28,30,3,active,7,7,20,4,4,10,1,0,1,1,1,0,0,1,0,0,1,0,0,1
222,Block B,41,11,3,active,6,6,47,4,5,10,1,1,1,1,1,0,1,0,0,0,0,0,0,0
223,Block D,7,42,4,active,6,6,25,4,5,9,0,1,0,1,1,1,1,0,0,0,0,0,0,0
224,Block A,10,35,3,active,10,10,46,4,5,9,1,1,1,1,1,0,1,1,0,0,0,0,0,0
225,Block A,52,10,4,active,7,7,45,5,5,8,1,1,1,1,1,1,1,1,0,0,1,0,0,0
226,Block D,13,31,3,active,7,7,23,5,5,10,1,1,1,1,0,1,1,0,0,0,0,0,0,0
227,Block D,49,46,4,active,10,10,47,5,5,9,1,1,1,0,1,1,1,1,0,0,0,0,0,0
228,Block D,55,23,4,active,6,6,56,5,5,10,1,1,0,1,1,1,1,1,0,0,0,0,0,0
229,Block B,32,25,4,active,10,10,55,5,4,8,1,0,1,1,1,1,1,1,0,1,0,0,0,0
230,Block B,54,12,3,active,10,10,21,5,4,10,0,1,1,1,1,1,1,1,0,0,1,0,0,0
231,Block C,29,17,3,active,8,8,30,4,5,8,0,0,0,1,1,1,1,1,0,0,0,0,0,0
232,Block B,58,59,4,active,6,6,29,5,5,7,1,1,1,1,1,1,1,1,0,0,0,1,1,0
233,Block A,19,40,3,active,6,6,38,5,5,7,1,1,0,1,0,0,1,1,0,0,0,0,0,0
234,Block B,29,15,4,active,7,7,25,5,5,9,0,1,1,1,1,1,0,1,0,0,0,0,0,0
235,Block C,27,32,3,active,8,8,55,5,5,8,0,1,0,1,1,1,1,1,0,0,0,0,1,0
236,Block A,49,16,4,active,6,6,51,4,5,7,1,0,0,0,1,1,1,1,0,0,0,0,0,0
237,Block B,8,30,4,active,8,8,53,5,5,8,1,1,0,0,0,1,1,0,0,0,0,0,0,0
238,Block B,51,14,3,active,6,6,28,4,4,9,1,1,1,1,1,1,1,1,0,0,0,0,0,0
239,Block A,7,40,3,active,8,8,20,5,4,8,1,0,1,1,1,0,1,1,0,0,0,0,0,0
240,Block A,23,37,4,active,6,6,57,5,4,10,1,0,0,0,1,1,1,1,0,0,0,0,0,0
241,Block B,38,40,3,active,9,9,31,5,4,10,1,1,1,1,1,0,0,0,0,0,0,0,0,0
242,Block A,13,30,4,active,6,6,46,4,5,9,0,1,1,0,1,0,1,1,0,0,0,0,0,0
243,Block B,32,21,3,active,6,6,57,5,4,10,0,1,1,1,0,1,0,0,0,0,0,0,0,0
244,Block C,60,19,4,active,6,6,21,5,4,8,0,1,0,0,1,0,1,1,0,0,0,1,0,0
245,Block D,51,17,4,active,10,10,20,4,4,7,1,1,0,0,0,1,1,1,0,1,0,0,0,0
246,Block A,7,29,3,active,6,6,20,4,5,7,1,1,1,1,1,0,1,1,0,0,0,0,0,1
247,Block B,38,30,4,active,8,8,26,5,5,10,0,0,0,1,0,0,1,1,0,0,0,0,0,0
248,Block A,38,43,3,active,8,8,22,5,4,10,0,1,1,1,0,0,0,0,1,0,0,0,0,0
249,Block B,9,8,4,active,8,8,53,5,5,9,1,1,1,1,1,1,0,0,0,0,0,0,0,0
250,Block B,41,21,3,active,9,9,44,5,5,7,0,1,1,1,1,0,0,1,0,0,0,0,0,1
251,Block D,34,52,3,active,10,10,60,4,5,8,1,0,1,0,1,0,1,0,0,0,0,0,0,0
